a-Ketoglutarate_346_M0	2-Oxoglutaric acid	0.6783	0.6921	0.7223	0.6237	0.6261	0.6465	0.5677	0.5469	0.5377	0.5995	0.6066	0.6193	0.6163	0.6068	0.6237	0.2780	0.2907	0.2814	0.2172	0.1958	0.2381	0.3839		0.3890		0.2151	0.2193	0.2333	0.0933	0.2320	0.5734	0.5607	0.5165	0.5428	0.5747	0.5420	0.6008		0.6140	0.6369	0.6640	0.6560	0.6173	0.6343	0.6175	0.5924	0.5598	0.5826	0.6351	0.5845		0.1654	0.1742	0.1649	0.2604	0.2323	0.2314	0.2613	0.2821	0.2715	0.2480	0.2613	0.2493	0.2341	0.2410	0.2394	0.1495	0.1601	0.1595	0.2250	0.2269	0.2404
Citrate_591_M4	Citric acid	0.1182	0.1131	0.1084	0.1237	0.1301	0.1254	0.1536	0.1597	0.1641	0.1375	0.1391	0.1374	0.1340	0.1374	0.1309	0.1756	0.1780	0.1760	0.1936	0.1977	0.1850	0.1274		0.1271		0.1977	0.1930	0.1904	0.2016	0.1885	0.1710	0.1727	0.1725	0.1525	0.1536	0.1491	0.1276		0.1340	0.1265	0.1249	0.1254	0.1308	0.1289	0.1328	0.1539	0.1560	0.1537	0.1268	0.1402	0.1330	0.2045	0.1998	0.1941	0.1932	0.1990	0.2109	0.1590	0.1523	0.1564	0.1735	0.1700	0.1751	0.2082	0.2083	0.2001	0.2100	0.2077	0.2146	0.1992	0.1974	0.1904
Citrate_591_M5	Citric acid	0.1105	0.1123	0.1091	0.1252	0.1228	0.1244	0.1245	0.1275	0.1319	0.1486	0.1455	0.1485	0.1541	0.1578	0.1597	0.0914	0.0883	0.0918	0.1050	0.1174	0.0962	0.0696		0.0715		0.1302	0.1317	0.1089	0.1348	0.1096	0.1654	0.1720	0.1762	0.2252	0.2169	0.2244	0.1495		0.1431	0.1244	0.1179	0.1208	0.1193	0.1239	0.1246	0.1309	0.1383	0.1387	0.1804	0.1740	0.1788	0.1734	0.1931	0.1970	0.1135	0.1330	0.1302	0.1520	0.1421	0.1508	0.1264	0.1278	0.1281	0.0879	0.0928	0.0933	0.1813	0.1824	0.1652	0.1637	0.1504	0.1499
Citrate_591_M6	Citric acid	0.0202	0.0203	0.0187	0.0218	0.0202	0.0189	0.0352	0.0365	0.0385	0.0340	0.0318	0.0342	0.0366	0.0370	0.0375	0.0025	0.0018	0.0038	0.0029	0.0035	0.0022	0.0022		0.0018		0.0031	0.0046	0.0040		0.0050	0.0497	0.0518	0.0557	0.0589	0.0585	0.0567	0.0263		0.0291	0.0239	0.0211	0.0208	0.0242	0.0230	0.0241	0.0311	0.0373	0.0347	0.0309	0.0386	0.0339	0.0054	0.0031	0.0052	0.0018	0.0008	0.0034	0.0016	0.0004	0.0003	0.0018		0.0038	0.0043	0.0029	0.0051	0.0047	0.0023	0.0056		0.0024	0.0009
Fumarate_287_M0	Fumaric acid	0.6710	0.6454	0.6595	0.6026	0.6662	0.6043	0.5486	0.5595	0.5736	0.5895	0.5835	0.5648	0.5952	0.6030	0.6054	0.6943		0.5435	0.6270		0.6235	0.6573		0.6397			0.5988	0.6118		0.6533	0.5462	0.5685	0.5088	0.3813	0.4943	0.4834	0.5564		0.5695	0.6191	0.6418	0.6116	0.5882	0.6182	0.6129	0.5820	0.5492	0.5988	0.5768	0.5444	0.5633	0.4666	0.9825	0.3910	0.9825		0.6631			0.8226	0.7242		0.5242	0.6214		0.4676	0.3736				0.6524	
Fumarate_287_M1	Fumaric acid	0.0307	0.0318	0.0332	0.0293	0.0356	0.0364	0.0472	0.0461	0.0434	0.0394	0.0379	0.0359	0.0347	0.0378	0.0356	0.0573		0.0472	0.1069		0.1178	0.0924		0.0965			0.0758	0.0862		0.0816	0.0417	0.0413	0.0421	0.0306	0.0309	0.0284	0.0374		0.0314	0.0375	0.0358	0.0344	0.0380	0.0349	0.0353	0.0432	0.0429	0.0420	0.0343	0.0335	0.0283	0.0690		0.0417			0.0367				0.0567		0.0525	0.1005		0.0907	0.0655				0.0493	
Fumarate_287_M2	Fumaric acid	0.1170	0.1332	0.1233	0.1505	0.0997	0.1469	0.1793	0.1781	0.1728	0.1308	0.1389	0.1488	0.1405	0.1331	0.1323			0.1639				0.0214		0.0804						0.0226	0.1494	0.1354	0.1696	0.1488	0.1396	0.1369	0.1368		0.1337	0.1311	0.1166	0.1333	0.1530	0.1380	0.1442	0.1433	0.1702	0.1419	0.1136	0.1362	0.1188			0.1253									0.1291			0.0934	0.0963					
Fumarate_287_M3	Fumaric acid	0.1524	0.1548	0.1514	0.1689	0.1714	0.1717	0.1632	0.1580	0.1550	0.1886	0.1891	0.1948	0.1833	0.1799	0.1831	0.0009		0.0878				0.0720		0.0504				0.0680			0.1858	0.1892	0.2017	0.3300	0.2496	0.2639	0.2090		0.2117	0.1680	0.1660	0.1765	0.1726	0.1690	0.1660	0.1752	0.1770	0.1673	0.2189	0.2228	0.2343	0.1639	0.0163	0.1885	0.0163		0.0018			0.0032			0.1029			0.1067	0.1840					
Fumarate_287_M4	Fumaric acid	0.0288	0.0347	0.0325	0.0486	0.0271	0.0407	0.0616	0.0584	0.0551	0.0517	0.0506	0.0556	0.0463	0.0462	0.0437	0.2474		0.1576	0.2661		0.2587	0.1568		0.1331			0.3254	0.2340		0.2425	0.0769	0.0655	0.0778	0.1093	0.0856	0.0874	0.0603		0.0536	0.0444	0.0398	0.0442	0.0482	0.0399	0.0416	0.0563	0.0607	0.0501	0.0564	0.0631	0.0553	0.3004	0.0012	0.2536	0.0012		0.2985			0.1742	0.2191		0.1913	0.2781		0.2416	0.2806				0.2983	
Glutamate_432_M0	Glutamic acid	0.6706	0.6815	0.7010	0.6151	0.6099	0.6253	0.6945	0.6327	0.5354	0.6018	0.5992	0.6000	0.6163	0.5998	0.6264	0.2870	0.2978	0.2908	0.2229	0.2027	0.2400	0.3888		0.3889		0.2206	0.2293	0.2433	0.2011	0.2424	0.5961	0.5811	0.5582	0.5586	0.5782	0.5410	0.6218		0.6073	0.6274	0.6277	0.6297	0.6165	0.6250	0.6106	0.5948	0.5737	0.5915	0.6348	0.5785	0.6105	0.1784	0.1838	0.1827	0.2597	0.2445	0.2401	0.2644	0.2860	0.2672	0.2503	0.2615	0.2585	0.2414	0.2304	0.2429	0.1586	0.1669	0.1696	0.2122	0.2333	0.2373
Glutamate_432_M1	Glutamic acid	0.0160	0.0152	0.0159	0.0160	0.0167	0.0151	0.0236	0.0241	0.0212	0.0163	0.0168	0.0168	0.0150	0.0163	0.0147	0.0456	0.0519	0.0470	0.0685	0.0621	0.0742	0.0859		0.0886		0.0460	0.0486	0.0588	0.0483	0.0625	0.0141	0.0127	0.0139	0.0114	0.0119	0.0122	0.0150		0.0174	0.0163	0.0161	0.0171	0.0172	0.0164	0.0180	0.0156	0.0172	0.0153	0.0122	0.0157	0.0120	0.0430	0.0365	0.0394	0.0280	0.0256	0.0254	0.0302	0.0387	0.0280	0.0436	0.0494	0.0490	0.0675	0.0660	0.0688	0.0452	0.0472	0.0500	0.0215	0.0280	0.0293
